city,aqi,observed_at_utc,lat,lon,station_name,dominentpol,pm25,pm10,o3,no2,so2,co,nh3,aqi_category,aqi_range
Perth,1,2025-09-10 10:00:00+00:00,-31.8757651,115.9660496,Caversham,pm10,3,1,26.0,7.8,,,,Good,0-50
Sydney,17,2025-09-10 12:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,o3,5,6,17.1,4.1,,3.1,,Good,0-50
Melbourne,18,2025-09-10 13:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,18,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,38,2025-09-10 13:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,38,16,,,,,,Good,0-50
Adelaide,3,2025-09-10 12:00:00+00:00,-34.0485,141.0633,Western LLS Lake Victoria,pm10,4,3,,,,,,Good,0-50
